mood,age,gender,subject,semester,sibilings,living,employment,personality,relationship,wakeup,breakfast,launch,dinner,sleep,hobbies,smoker,alcoholic,drug_addicted,friends,hangout,social_events,pray,sports,exercise,meditation,video_games,study_hours,phone_hours,medication,movies_per_week,music hours,depression,category
Sad,23,Male,Business,8,1,With family,None,Introvert,Single,11:00:00 AM,12:00:00 AM,1:00:00 PM,2:00:00 PM,4:00:00 AM,Gaming,No,No,No,1,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,0,3 to 5,No,2,3,23,Severe
Lost,21,Male,Business,2,2,With family,Part time,Introvert,Single,9:00:00 AM,2:45:00 PM,2:45:00 PM,3:00:00 PM,3:00:00 AM,Cycling ,Yes,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,4,more than 8,No,5,2,10,Moderate
Happy,29,Male,MBBS,5,0,With family,Part time,Ambivert,Married,10:00:00 AM,10:30:00 AM,2:30:00 PM,4:00:00 PM,2:00:00 AM,"Music, Traveling",No,No,No,5,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Very Often,4,3 to 5,No,1,1,3,None
Happy,25,Male,Engineering,11,2,With family,Full time,Ambivert,Single,2:00:00 PM,3:00:00 PM,7:00:00 PM,5:00:00 PM,4:00:00 AM,None,No,No,No,4,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Not at all,Not at all,6,0 to 2,No,0,2,2,None
Happy,22,Female,Business,8,1,With family,Full time,Introvert,In a relationship,11:00:00 AM,11:30:00 AM,3:30:00 PM,6:00:00 PM,1:00:00 AM,None,No,No,No,3,Not at all,Sometimes,Regularly,Not at all,Not at all,Not at all,Not at all,0,6 to 8,No,0,1,12,Moderate
Happy,25,Male,Engineering,13,3,With family,Full time,Introvert,Married,6:00:00 AM,8:00:00 AM,1:30:00 PM,7:00:00 PM,1:00:00 AM,Programming,No,No,No,7,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,8,0 to 2,No,5,0,4,None
Tensed,22,Female,Environmental science and management ,8,3,With family,None,Introvert,Single,11:30:00 AM,2:00:00 PM,4:00:00 PM,8:00:00 PM,2:00:00 AM,"Painting, Traveling",No,No,No,6,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,6,0 to 2,No,0,1,10,Moderate
Lost,21,Others,Pharmacy,5,1,With family,None,Introvert,In a relationship,10:30:00 AM,11:00:00 AM,2:00:00 AM,9:00:00 PM,2:30:00 AM,"Dancing, Photography, Traveling",No,No,No,2,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Sometimes,7,0 to 2,No,3,10,13,Moderate
Tensed,21,Male,Business,5,1,With family,Part time,Introvert,Single,10:00:00 AM,10:30:00 AM,3:30:00 AM,10:00:00 PM,1:00:00 AM,"Gaming, Driving, Researching about cars",No,No,No,3,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Often,2,6 to 8,No,2,1,16,Moderate
Happy,22,Male,Engineering,11,1,With family,None,Introvert,Single,5:00:00 AM,8:00:00 AM,1:00:00 AM,11:00:00 PM,11:00:00 AM,"Photography, Programming",No,No,No,5,Sometimes,Sometimes,Regularly,Not at all,Regularly,Regularly,Sometimes,10,0 to 2,No,2,1,10,Moderate
Lost,24,Female,Engineering,11,2,With family,None,Introvert,Single,11:00:00 AM,12:00:00 AM,4:00:00 PM,12:00:00 AM,2:00:00 AM,"Music, Painting",No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,2,more than 8,No,3,2,14,Moderate
Tensed,24,Female,Business,12,2,With family,None,Introvert,In a relationship,9:00:00 AM,10:00:00 AM,1:30:00 PM,1:00:00 AM,1:00:00 AM,Traveling,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,2,6 to 8,No,5,1,14,Moderate
Tensed,22,Male,Engineering,13,1,With family,None,Extrovert,Single,8:30:00 AM,10:00:00 AM,2:00:00 AM,2:00:00 AM,1:00:00 AM,"Painting, Traveling, Programming",No,No,No,4,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,1,more than 8,No,3,1,15,Moderate
Tensed,24,Female,Business,13,1,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,4:00:00 PM,3:00:00 AM,4:00:00 AM,"Photography, Painting, Traveling",No,No,No,0,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,0,6 to 8,No,1,1,16,Moderate
Lost,24,Male,Engineering,12,3,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,3:30:00 PM,4:00:00 AM,4:00:00 AM,"Music, Dancing",Yes,No,No,12,Often,Sometimes,Not at all,Not at all,Sometimes,Not at all,Very Often,6,6 to 8,No,7,1,9,Moderate
Happy,22,Female,Pharmacy,8,2,With family,None,Introvert,In a relationship,8:00:00 AM,10:00:00 AM,2:00:00 AM,5:00:00 AM,12:00:00 AM,"Traveling, Take care of my birds",No,No,No,2,Sometimes,Often,Sometimes,Not at all,Sometimes,Sometimes,Not at all,3,3 to 5,Yes,1,1,4,None
Sad,23,Female,Microbiology ,10,2,With family,None,Extrovert,In a relationship,9:00:00 AM,10:00:00 AM,2:00:00 PM,6:00:00 AM,2:00:00 AM,Cooking,No,No,No,5,Sometimes,Not at all,Sometimes,Not at all,Sometimes,Not at all,Not at all,1,6 to 8,No,0,0,10,Moderate
Sad,21,Female,Engineering,6,2,With family,None,Introvert,Single,8:00:00 AM,12:30:00 PM,3:30:00 PM,7:00:00 AM,2:00:00 AM,"Photography, Traveling",No,No,No,5,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Sometimes,5,3 to 5,No,1,1,8,Moderate
Happy,19,Male,Engineering,2,2,With family,Full time,Extrovert,Single,12:00:00 PM,2:00:00 AM,5:00:00 AM,8:00:00 AM,6:00:00 AM,Programming,No,No,No,0,Sometimes,Very Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,4,3 to 5,No,2,2,9,Moderate
Tensed,22,Female,Engineering,14,2,With family,None,Introvert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,9:00:00 AM,2:00:00 AM,"Music, Dancing",No,No,No,2,Sometimes,Not at all,Sometimes,Not at all,Sometimes,Sometimes,Not at all,4,3 to 5,No,2,1,2,None
Happy,22,Female,Law,7,3,With family,None,Introvert,Single,8:30:00 AM,10:00:00 AM,3:01:00 PM,10:00:00 AM,2:00:00 AM,Music,No,No,No,0,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,2,6 to 8,No,0,1,15,Moderate
Sad,21,Male,Engineering,4,2,With family,None,Introvert,Single,10:00:00 AM,11:00:00 AM,2:30:00 PM,11:00:00 AM,4:00:00 AM,Traveling,Yes,No,No,3,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Sometimes,6,3 to 5,No,0,1,7,Moderate
Angry,25,Male,Engineering,10,1,Without family,None,Extrovert,In a relationship,12:37:00 AM,3:00:00 PM,5:00:00 PM,12:00:00 PM,4:00:00 AM,Arguing,Yes,Yes,Yes,6,Very Often,Very Often,Sometimes,Not at all,Sometimes,Not at all,Very Often,0,0 to 2,Yes,7,7,7,Moderate
Happy,22,Female,English Literature,8,2,With family,None,Ambivert,Single,7:00:00 AM,9:30:00 AM,2:30:00 PM,1:00:00 PM,1:00:00 AM,"Music, Traveling",No,No,No,7,Sometimes,Very Often,Sometimes,Sometimes,Regularly,Not at all,Not at all,0,3 to 5,No,0,1,5,Moderate
Lost,20,Female,Engineering,5,0,With family,None,Ambivert,In a relationship,1:00:00 PM,1:30:00 PM,1:30:00 PM,2:00:00 PM,5:30:00 AM,None,No,No,No,4,Sometimes,Not at all,Sometimes,Not at all,Not at all,Not at all,Very Often,0,more than 8,No,0,4,27,Severe
Happy,30,Male,Business,1,0,Without family,Full time,Introvert,Single,10:00:00 AM,8:00:00 AM,1:00:00 PM,3:00:00 PM,12:00:00 AM,Music,No,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,1,0 to 2,No,7,0,0,None
Sad,20,Female,Engineering,1,1,With family,None,Introvert,Single,9:30:00 AM,12:00:00 PM,3:00:00 PM,4:00:00 PM,1:45:00 AM,"Music, Traveling",No,No,No,3,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,1,6 to 8,No,2,1,26,Severe
Happy,21,Female,MBBS,1,2,With family,Part time,Introvert,Single,12:00:00 PM,12:30:00 PM,4:00:00 PM,5:00:00 PM,4:00:00 AM,"Photography, Reading",No,No,No,2,Sometimes,Often,Sometimes,Not at all,Sometimes,Not at all,Not at all,2,3 to 5,No,1,0,3,None
Happy,22,Male,Business,12,2,With family,None,Ambivert,Single,11:00:00 AM,11:30:00 AM,3:00:00 PM,6:00:00 PM,4:00:00 AM,"Dancing, Traveling",Yes,Yes,No,2,Very Often,Sometimes,Not at all,Sometimes,Regularly,Not at all,Not at all,2,3 to 5,No,6,2,4,None
Sad,20,Female,Business,2,1,With family,None,Introvert,Single,1:40:00 PM,2:00:00 PM,5:00:00 PM,7:00:00 PM,4:30:00 AM,"Music, Playing ",No,No,No,2,Not at all,Not at all,Regularly,Sometimes,Sometimes,Not at all,Not at all,2,6 to 8,No,3,2,13,Moderate
Tensed,19,Female,Engineering,3,1,With family,None,Ambivert,In a relationship,4:00:00 PM,8:50:00 AM,2:30:00 AM,8:00:00 PM,9:30:00 AM,None,No,No,No,3,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,3,more than 8,Yes,0,1,17,Moderate
Angry,24,Male,Engineering,10,1,Without family,Full time,Introvert,In a relationship,12:00:00 PM,1:00:00 PM,5:00:00 PM,9:00:00 PM,6:00:00 AM,"Dancing, Painting",Yes,No,No,0,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,10,more than 8,No,0,0,0,None
Tensed,22,Male,Engineering,5,0,With family,None,Ambivert,In a relationship,11:17:00 AM,1:07:00 PM,4:00:00 PM,10:00:00 PM,4:00:00 AM,"Music, Programming",No,No,No,6,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Often,1,6 to 8,Yes,1,2,14,Moderate
Lost,20,Male,HSC 20,1,3,With family,Part time,Extrovert,Single,9:00:00 AM,9:30:00 AM,2:00:00 AM,11:00:00 PM,3:00:00 AM,Photography,No,No,No,3,Very Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,2,more than 8,No,2,2,5,Moderate
Happy,23,Female,TESOL,5,20,With family,None,Introvert,Single,11:00:00 AM,11:10:00 AM,3:00:00 PM,12:00:00 AM,3:00:00 AM,"Music, reading, gaming, video watching",Yes,Yes,No,4,Often,Sometimes,Not at all,Not at all,Sometimes,Not at all,Often,3,3 to 5,No,2,3,0,None
Sad,22,Male,Engineering,1,1,With family,None,Extrovert,In a relationship,10:00:00 AM,10:30:00 AM,2:30:00 AM,1:00:00 AM,2:30:00 AM,Photography,No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,3,6 to 8,No,2,1,12,Moderate
Happy,21,Male,Economics,4,1,With family,None,Extrovert,Single,10:00:00 AM,11:00:00 AM,2:00:00 PM,2:00:00 AM,3:00:00 AM,"Music, Photography, Traveling",Yes,Yes,No,0,Very Often,Very Often,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,2,3 to 5,No,6,3,18,Moderate
Lost,24,Female,Biochemistry and Biotechnology ,12,2,With family,Part time,Introvert,Single,9:00:00 AM,9:30:00 AM,2:00:00 AM,3:00:00 AM,1:00:00 AM,None,No,No,No,5,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Not at all,Not at all,0,more than 8,No,0,0,21,Severe
Tensed,21,Female,Business,3,1,With family,Part time,Extrovert,Single,11:30:00 AM,12:00:00 AM,2:00:00 AM,4:00:00 AM,2:30:00 AM,"Music, Dancing, Photography, Traveling",No,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,3,6 to 8,Yes,0,0,15,Moderate
Happy,22,Male,Engineering,5,0,With family,None,Ambivert,In a relationship,7:00:00 AM,7:30:00 AM,1:30:00 PM,5:00:00 AM,12:00:00 AM,"Painting, Programming",No,No,No,6,Sometimes,Sometimes,Sometimes,Not at all,Regularly,Not at all,Sometimes,5,3 to 5,No,2,2,4,None
Lost,26,Male,Business,13,3,With family,None,Ambivert,In a relationship,12:00:00 PM,1:00:00 PM,5:00:00 PM,6:00:00 AM,4:00:00 AM,Photography,Yes,No,No,0,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Often,3,more than 8,No,0,1,22,Severe
Tensed,20,Female,Business,7,3,With family,None,Extrovert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,7:00:00 AM,2:00:00 AM,Traveling,No,No,No,6,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Sometimes,Not at all,4,3 to 5,No,0,1,6,Moderate
Tensed,20,Male,Engineering,1,4,With family,None,Extrovert,In a relationship,8:00:00 AM,8:30:00 AM,2:00:00 PM,8:00:00 AM,2:00:00 AM,Programming,No,No,No,1,Sometimes,Not at all,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,9,3 to 5,No,1,1,7,Moderate
Lost,26,Female,Engineering,14,1,With family,None,Ambivert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,9:00:00 AM,2:00:00 AM,Music,No,No,No,2,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,2,6 to 8,No,10,7,18,Moderate
Happy,23,Male,Engineering,9,1,With family,None,Introvert,Single,8:00:00 AM,9:00:00 AM,2:00:00 PM,10:00:00 AM,1:00:00 AM,None,Yes,No,No,4,Sometimes,Not at all,Sometimes,Regularly,Sometimes,Not at all,Not at all,3,0 to 2,No,1,1,2,None
Happy,23,Male,Engineering,12,0,Without family,None,Introvert,In a relationship,8:00:00 AM,4:00:00 PM,6:00:00 PM,11:00:00 AM,4:00:00 AM,Traveling,No,No,No,0,Sometimes,Not at all,Sometimes,Not at all,Sometimes,Not at all,Often,2,0 to 2,No,0,0,0,None
Sad,25,Female,Business,11,0,With family,None,Introvert,Married,7:30:00 AM,9:30:00 AM,2:00:00 PM,12:00:00 PM,11:00:00 PM,Traveling,No,No,No,1,Very Often,Very Often,Sometimes,Not at all,Not at all,Not at all,Very Often,2,6 to 8,No,3,3,11,Moderate
Happy,22,Male,Engineering,9,1,Without family,None,Introvert,Single,7:00:00 AM,10:00:00 AM,3:00:00 PM,1:00:00 PM,2:30:00 AM,Gaming,No,No,No,2,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Not at all,Very Often,2,0 to 2,No,2,3,13,Moderate
Happy,23,Male,Engineering,11,1,With family,None,Extrovert,Single,8:00:00 AM,10:00:00 AM,2:30:00 PM,2:00:00 PM,12:30:00 AM,"None, Music, Traveling",No,No,No,2,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Sometimes,3,3 to 5,No,3,1,3,None
Happy,21,Female,Engineering,10,2,With family,None,Introvert,Single,10:00:00 AM,11:00:00 AM,2:09:00 AM,3:00:00 PM,2:30:00 PM,Programming,No,No,No,9,Sometimes,Sometimes,Regularly,Sometimes,Sometimes,Sometimes,Not at all,6,3 to 5,No,0,0,11,Moderate
Happy,26,Male,Business,11,2,Without family,None,Introvert,Single,5:45:00 AM,7:30:00 AM,1:00:00 AM,4:00:00 PM,11:00:00 AM,Traveling,No,No,No,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,5,3 to 5,Yes,1,5,9,Moderate
Happy,22,Female,Engineering,11,1,With family,None,Extrovert,Single,6:00:00 AM,7:00:00 AM,1:00:00 PM,5:00:00 PM,12:00:00 AM,"Music, Painting",No,No,No,6,Sometimes,Sometimes,Regularly,Sometimes,Regularly,Sometimes,Often,2,3 to 5,No,1,1,8,Moderate
Tensed,21,Female,Business,5,1,With family,None,Introvert,In a relationship,9:00:00 AM,11:00:00 AM,2:00:00 AM,6:00:00 PM,2:00:00 AM,"Music, Painting, Traveling",No,No,No,1,Not at all,Often,Sometimes,Not at all,Not at all,Not at all,Not at all,5,6 to 8,No,0,1,17,Moderate
Sad,21,Male,Engineering,8,2,With family,None,Ambivert,Single,9:40:00 AM,10:00:00 AM,3:15:00 AM,7:00:00 PM,1:00:00 AM,"Music, Painting, Playing computer games",No,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Very Often,5,3 to 5,No,5,6,13,Moderate
Happy,22,Female,Engineering,9,0,With family,None,Ambivert,Single,10:00:00 AM,10:00:00 AM,4:00:00 PM,8:00:00 PM,2:00:00 AM,Dancing,No,No,No,4,Often,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Sometimes,1,3 to 5,No,1,1,14,Moderate
Happy,25,Female,English Linguistics ,10,1,With family,None,Ambivert,Single,8:30:00 AM,9:30:00 AM,2:00:00 PM,9:00:00 PM,12:00:00 AM,None,No,No,No,3,Sometimes,Sometimes,Not at all,Not at all,Sometimes,Not at all,Not at all,4,more than 8,No,1,3,19,Moderate
Tensed,24,Female,Engineering,2,2,With family,Full time,Ambivert,Single,5:00:00 AM,7:00:00 AM,1:00:00 PM,10:00:00 PM,12:00:00 AM,Painting,No,No,No,4,Sometimes,Sometimes,Regularly,Sometimes,Regularly,Sometimes,Sometimes,4,0 to 2,No,1,1,5,Moderate
Happy,21,Male,Honours ,2,2,With family,Part time,Introvert,Single,7:30:00 AM,9:30:00 AM,2:10:00 PM,11:00:00 PM,1:00:00 AM,Traveling,Yes,Yes,No,4,Often,Sometimes,Sometimes,Sometimes,Sometimes,Regularly,Sometimes,1,3 to 5,No,0,1,11,Moderate
Sad,24,Male,Engineering,11,3,With family,None,Introvert,Single,8:00:00 AM,12:00:00 AM,3:00:00 AM,12:00:00 AM,3:00:00 AM,"Traveling, Programming",Yes,Yes,No,2,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,6,6 to 8,Yes,3,5,12,Moderate
Sad,21,Female,life sciences ,5,1,With family,None,Introvert,Single,8:00:00 AM,9:30:00 AM,2:00:00 AM,1:00:00 AM,3:00:00 AM,"Music, Dancing, Traveling",No,No,No,5,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Not at all,4,6 to 8,No,0,6,15,Moderate
Sad,22,Male,Genetic Engineering and Biotechnology ,7,1,With family,None,Extrovert,Single,8:00:00 AM,9:00:00 AM,2:00:00 PM,2:00:00 AM,1:00:00 AM,"Photography, Traveling, Sports ",No,No,No,6,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,3,more than 8,No,5,1,3,None
Lost,19,Male,College/Humanities,2,2,With family,Full time,Introvert,Single,10:00:00 AM,11:00:00 AM,3:00:00 AM,3:00:00 AM,12:00:00 AM,Photography,No,No,No,3,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,0,6 to 8,No,3,10,13,Moderate
Tensed,22,Female,Business,8,1,With family,None,Ambivert,In a relationship,9:30:00 AM,11:00:00 AM,3:00:00 PM,4:00:00 AM,2:00:00 AM,"Music, Traveling, Watching drama",No,No,No,4,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,3,6 to 8,No,1,1,10,Moderate
Sad,21,Female,BBA in finance ,5,3,With family,None,Introvert,Single,8:30:00 AM,10:00:00 AM,3:00:00 PM,5:00:00 AM,2:00:00 AM,"Music, Dancing, Painting, Traveling, Programming",No,No,No,0,Sometimes,Sometimes,Regularly,Sometimes,Regularly,Not at all,Not at all,1,3 to 5,No,4,5,18,Moderate
Happy,21,Male,Engineering,2,1,With family,Part time,Extrovert,Single,10:00:00 AM,12:00:00 PM,3:00:00 PM,6:00:00 AM,3:00:00 AM,"Music, Traveling",Yes,No,No,5,Sometimes,Very Often,Not at all,Regularly,Regularly,Sometimes,Not at all,1,3 to 5,Yes,0,1,3,None
Sad,21,Male,Business,5,2,With family,None,Introvert,Single,11:00:00 AM,12:20:00 PM,3:00:00 PM,7:00:00 AM,3:30:00 AM,Playing Cricket ,No,No,No,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Very Often,2,3 to 5,No,2,1,9,Moderate
Lost,21,Male,Economics,2,0,With family,Part time,Introvert,Single,10:00:00 AM,12:00:00 PM,3:00:00 PM,8:00:00 AM,2:30:00 AM,"Photography, Playing football",No,No,No,3,Sometimes,Often,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,1,6 to 8,No,1,0,15,Moderate
Lost,23,Male,Business,8,2,With family,Part time,Extrovert,Single,2:00:00 PM,3:00:00 PM,5:00:00 AM,9:00:00 AM,6:00:00 AM,None,Yes,Yes,No,2,Often,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,Not at all,4,more than 8,No,3,0,8,Moderate
Lost,22,Male,Marketing ,8,0,With family,Part time,Extrovert,Single,11:00:00 AM,12:00:00 AM,5:00:00 PM,10:00:00 AM,4:00:00 AM,Music,Yes,Yes,Yes,4,Often,Sometimes,Not at all,Not at all,Not at all,Not at all,Sometimes,1,more than 8,No,2,2,27,Severe
Lost,20,Female,International Relations ,4,2,With family,Part time,Ambivert,Single,8:30:00 AM,9:00:00 AM,1:30:00 PM,11:00:00 AM,3:00:00 AM,Music,No,No,No,2,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,0,more than 8,Yes,2,1,15,Moderate
Sad,24,Male,Engineering,11,1,With family,Part time,Introvert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,12:00:00 PM,3:00:00 AM,Programming,No,No,No,0,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,1,3 to 5,No,1,1,24,Severe
Sad,22,Male,Business,6,2,With family,Part time,Ambivert,Single,12:00:00 AM,1:00:00 PM,5:00:00 PM,1:00:00 PM,5:00:00 AM,Photography,Yes,No,No,10,Very Often,Sometimes,Regularly,Sometimes,Not at all,Sometimes,Sometimes,6,more than 8,No,0,6,13,Moderate
Happy,21,Female,Interior Architecture,2,2,With family,Part time,Ambivert,In a relationship,11:00:00 AM,2:00:00 AM,5:00:00 AM,2:00:00 PM,6:00:00 AM,Painting,Yes,No,No,3,Often,Sometimes,Sometimes,Not at all,Sometimes,Not at all,Sometimes,6,more than 8,No,4,2,10,Moderate
Happy,25,Male,Business,12,2,With family,Part time,Ambivert,Engaged,11:00:00 AM,11:20:00 AM,4:00:00 PM,3:00:00 PM,4:00:00 AM,None,Yes,No,No,0,Sometimes,Sometimes,Regularly,Not at all,Not at all,Not at all,Very Often,0,more than 8,No,10,0,10,Moderate
Sad,22,Female,Business,4,2,With family,Part time,Ambivert,In a relationship,10:30:00 AM,12:30:00 PM,2:00:00 AM,4:00:00 PM,3:00:00 AM,"Music, Photography, Painting",No,No,No,10,Sometimes,Sometimes,Sometimes,Not at all,Regularly,Not at all,Not at all,2,6 to 8,No,1,1,5,Moderate
Sad,23,Male,Business,7,2,With family,Part time,Ambivert,In a relationship,1:00:00 PM,2:00:00 PM,2:00:00 PM,5:00:00 PM,6:00:00 AM,None,No,No,No,4,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,6 to 8,No,0,1,10,Moderate
Happy,21,Female,Business,4,3,With family,Part time,Introvert,Single,11:00:00 AM,11:15:00 AM,3:15:00 PM,6:00:00 PM,3:00:00 AM,None,No,No,No,2,Sometimes,Not at all,Regularly,Not at all,Not at all,Not at all,Not at all,3,3 to 5,No,1,0,12,Moderate
Happy,21,Male,Business,3,0,With family,Part time,Ambivert,Single,9:00:00 AM,10:00:00 AM,1:00:00 PM,7:00:00 PM,3:00:00 AM,Photography,No,No,No,3,Often,Sometimes,Sometimes,Not at all,Not at all,Not at all,Not at all,1,0 to 2,No,2,3,8,Moderate
Happy,21,Male,Engineering,5,3,With family,Part time,Ambivert,Single,12:01:00 PM,2:00:00 PM,2:00:00 PM,8:00:00 PM,5:30:00 AM,"Traveling, Programming",No,No,No,0,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Not at all,Sometimes,2,3 to 5,No,0,1,9,Moderate
Tensed,21,Male,Economics,5,1,With family,None,Ambivert,In a relationship,9:00:00 AM,11:00:00 AM,4:00:00 PM,9:00:00 PM,3:30:00 PM,"Music, Traveling, Singing",Yes,No,Yes,3,Very Often,Often,Regularly,Sometimes,Not at all,Not at all,Sometimes,1,6 to 8,No,0,1,6,Moderate
Lost,21,Male,Business,9,1,With family,None,Ambivert,Single,10:45:00 AM,2:45:00 PM,2:45:00 PM,10:00:00 PM,3:00:00 AM,"Music, Traveling",No,No,No,2,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Not at all,1,3 to 5,No,1,3,13,Moderate
Tensed,19,Male,Engineering,2,8,With family,None,Introvert,In a relationship,7:30:00 AM,11:00:00 AM,3:30:00 AM,11:00:00 PM,1:30:00 AM,None,No,No,No,2,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Not at all,Often,7,0 to 2,No,0,1,9,Moderate
Happy,23,Female,English Literature,7,1,With family,Part time,Extrovert,In a relationship,6:00:00 AM,9:00:00 AM,2:00:00 PM,12:00:00 AM,10:00:00 PM,"Photography, Painting, Traveling",No,No,No,6,Often,Sometimes,Sometimes,Not at all,Regularly,Not at all,Not at all,4,6 to 8,Yes,5,0,4,None
Tensed,24,Male,Engineering,8,3,With family,None,Introvert,Single,6:00:00 AM,8:00:00 AM,1:30:00 PM,1:00:00 AM,1:00:00 AM,"Music, Photography",Yes,No,No,5,Sometimes,Sometimes,Regularly,Sometimes,Not at all,Not at all,Often,1,3 to 5,No,2,2,14,Moderate
Lost,21,Male,Business,5,2,Without family,None,Introvert,Single,8:00:00 AM,9:30:00 AM,2:00:00 PM,2:00:00 AM,12:00:00 AM,None,No,No,No,0,Not at all,Not at all,Sometimes,Not at all,Not at all,Not at all,Not at all,3,more than 8,No,20,1,20,Severe
Happy,21,Male,Business,6,0,With family,Part time,Ambivert,Single,9:00:00 AM,9:20:00 AM,2:30:00 PM,3:00:00 AM,1:00:00 AM,"Photography, Traveling",No,No,No,4,Often,Often,Regularly,Sometimes,Sometimes,Not at all,Very Often,1,3 to 5,No,0.25,1,3,None
Sad,20,Male,Business,5,1,With family,None,Introvert,Single,10:30:00 AM,11:00:00 AM,2:30:00 PM,4:00:00 AM,2:00:00 AM,Painting,No,No,No,0,Not at all,Often,Not at all,Not at all,Not at all,Not at all,Often,4,more than 8,No,1,5,27,Severe
Happy,22,Male,Engineering,4,3,With family,None,Extrovert,Single,10:00:00 AM,11:00:00 AM,3:00:00 PM,5:00:00 AM,3:00:00 AM,Music,No,No,No,5,Very Often,Often,Sometimes,Sometimes,Sometimes,Not at all,Sometimes,3,6 to 8,No,2,1,7,Moderate
Happy,22,Male,Business,5,0,With family,None,Ambivert,In a relationship,10:00:00 AM,10:30:00 AM,2:00:00 AM,6:00:00 AM,1:00:00 AM,"Photography, Traveling",No,No,No,2,Often,Sometimes,Sometimes,Sometimes,Not at all,Not at all,Very Often,5,6 to 8,No,2,3,8,Moderate
Happy,20,Male,Business,8,1,With family,None,Extrovert,Single,9:00:00 AM,10:52:00 AM,3:12:00 PM,7:00:00 AM,3:58:00 AM,"Photography, Traveling",No,No,No,0,Sometimes,Sometimes,Regularly,Not at all,Sometimes,Sometimes,Often,4,6 to 8,No,2,3,8,Moderate
Tensed,21,Male,Business,5,1,With family,None,Ambivert,Single,9:00:00 AM,10:00:00 AM,2:00:00 PM,8:00:00 AM,2:00:00 AM,"Cycling, biking",No,No,No,5,Often,Sometimes,Regularly,Not at all,Not at all,Not at all,Very Often,3,3 to 5,No,0,2,13,Moderate
